strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source
Blue Dream,17.0,0.1,0.0,0.0072,0.001,0.0058,0.0082,0.0074,0.0043,0.0007,0.0,"Relaxation,Euphoria,Creativity","Pain,Depression,Nausea,Insomnia",Hybrid,Hybrid - Lab terpenes + Manual metadata,425,Hybrid: Lab terpenes (425 samples) + Manual metadata
Dutch Treat,1.4,0.15,0.1,0.0037,0.0144,0.0038,0.0155,0.0019,0.0041,0.0035,0.0011,"Sedation,Euphoria,Energy","Anxiety,Depression",Sativa,Lab-Only - All data from laboratory testing,273,"Lab-Verified: 273 samples from Analytical 360, SC Labs"
Harlequin,9.0,9.0,0.0,0.0043,0.0018,0.0028,0.0092,0.0031,0.0025,0.0003,0.0005,"Relaxation,Focus,Clarity","Pain,Anxiety,Inflammation,Seizures",Sativa,Hybrid - Lab terpenes + Manual metadata,188,Hybrid: Lab terpenes (188 samples) + Manual metadata
Girl Scout Cookies,18.0,0.1,0.1,0.003,0.0015,0.0091,0.0067,0.0042,0.0104,0.0003,0.0,"Euphoria,Relaxation,Happiness","Pain,Nausea,Appetite,Stress",Hybrid,Hybrid - Lab terpenes + Manual metadata,166,Hybrid: Lab terpenes (166 samples) + Manual metadata
Sour Diesel,20.0,0.1,0.0,0.0066,0.0051,0.009,0.0076,0.0068,0.0123,0.0007,0.0001,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,137,Hybrid: Lab terpenes (137 samples) + Manual metadata
Super Lemon Haze,19.0,0.1,0.0,0.0045,0.0094,0.0113,0.0095,0.0039,0.0061,0.0101,0.0256,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,137,Hybrid: Lab terpenes (137 samples) + Manual metadata
OG Kush,19.0,0.1,0.1,0.0033,0.002,0.0062,0.0066,0.0039,0.0107,0.0009,0.0004,"Relaxation,Euphoria,Happiness","Stress,Pain,Insomnia,Appetite",Hybrid,Hybrid - Lab terpenes + Manual metadata,135,Hybrid: Lab terpenes (135 samples) + Manual metadata
Green Crack,17.0,0.1,0.0,0.0059,0.0023,0.0053,0.0084,0.0073,0.0048,0.0005,0.0008,"Energy,Focus,Euphoria","Fatigue,Depression,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,133,Hybrid: Lab terpenes (133 samples) + Manual metadata
Grape Ape,2.3,0.13,0.16,0.0107,0.0015,0.0056,0.0058,0.0082,0.0056,0.0003,0.0112,"Relaxation,Sedation","Pain,Insomnia",Indica,Lab-Only - All data from laboratory testing,120,"Lab-Verified: 120 samples from Analytical 360, PSI Labs, SC Labs"
Cinex,0.7,0.12,0.07,0.0014,0.0015,0.0038,0.0055,0.0031,0.0104,0.0001,0.0001,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,113,Lab-Verified: 113 samples from Analytical 360
Gorilla Glue #4,25.0,0.1,0.1,0.002,0.0024,0.0077,0.001,0.0042,0.0116,0.0002,0.0,"Relaxation,Euphoria,Sedation","Pain,Stress,Insomnia,Appetite",Hybrid,Hybrid - Lab terpenes + Manual metadata,112,Hybrid: Lab terpenes (112 samples) + Manual metadata
Blackberry Kush,3.0,0.13,0.11,0.0036,0.0017,0.0048,0.0084,0.0035,0.0077,0.0002,0.0,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,110,"Lab-Verified: 110 samples from Analytical 360, PSI Labs, SC Labs"
Blueberry,16.0,0.1,0.2,0.0057,0.0007,0.0057,0.0093,0.0043,0.0054,0.0015,0.0001,"Relaxation,Euphoria,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,109,Hybrid: Lab terpenes (109 samples) + Manual metadata
RSO,44.8,2.67,0.71,0.0007,0.0027,0.008,0.0012,0.0058,0.0114,0.0008,0.0,Happiness,"Pain,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,109,"Lab-Verified: 109 samples from Analytical 360, PSI Labs, SC Labs"
White Widow,18.0,0.1,0.0,0.0048,0.0021,0.0054,0.0138,0.0026,0.0071,0.0006,0.0001,"Energy,Euphoria,Creativity","Depression,Stress,Pain,Fatigue",Hybrid,Hybrid - Lab terpenes + Manual metadata,107,Hybrid: Lab terpenes (107 samples) + Manual metadata
Jack Herer,18.0,0.1,0.0,0.005,0.0064,0.0082,0.0127,0.0043,0.0055,0.0122,0.0005,"Energy,Focus,Creativity,Euphoria","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,101,Hybrid: Lab terpenes (101 samples) + Manual metadata
Pineapple Express,19.0,0.1,0.0,0.0098,0.0027,0.0083,0.011,0.0144,0.0085,0.001,0.0001,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Hybrid,Hybrid - Lab terpenes + Manual metadata,100,Hybrid: Lab terpenes (100 samples) + Manual metadata
Bubba Kush,14.0,0.1,0.3,0.0025,0.0022,0.0054,0.0083,0.0025,0.0129,0.0003,0.0,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,96,Hybrid: Lab terpenes (96 samples) + Manual metadata
Super Silver Haze,1.3,0.09,0.12,0.0045,0.0037,0.0056,0.0103,0.0022,0.0045,0.0011,0.0005,Sedation,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,94,"Lab-Verified: 94 samples from Analytical 360, SC Labs"
Chernobyl,1.5,0.14,0.11,0.0023,0.0054,0.0051,0.004,0.0049,0.0062,0.0019,0.0001,"Euphoria,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,90,"Lab-Verified: 90 samples from Analytical 360, PSI Labs, SC Labs"
Tahoe OG,2.4,0.12,0.17,0.0034,0.0016,0.0049,0.0087,0.0059,0.0083,0.0003,0.0,Happiness,"Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,85,"Lab-Verified: 85 samples from Analytical 360, PSI Labs, SC Labs"
Purple Kush,17.0,0.1,0.4,0.0044,0.0019,0.006,0.0062,0.0047,0.0069,0.0003,0.0004,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,84,Hybrid: Lab terpenes (84 samples) + Manual metadata
Permafrost,2.3,0.18,0.22,0.0034,0.0034,0.0064,0.009,0.0041,0.0049,0.0005,0.0,Happiness,"Pain,Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,83,"Lab-Verified: 83 samples from Analytical 360, PSI Labs"
Cherry Pie,16.0,0.1,0.0,0.0054,0.0017,0.0081,0.0041,0.0038,0.0082,0.0002,0.0003,"Relaxation,Euphoria,Happiness","Stress,Pain,Anxiety,Insomnia",Hybrid,Hybrid - Lab terpenes + Manual metadata,80,Hybrid: Lab terpenes (80 samples) + Manual metadata
Cannatonic,1.8,3.73,0.26,0.0063,0.0013,0.0028,0.0083,0.0033,0.0039,0.0002,0.0,Relaxation,"Pain,Anxiety,Insomnia,Inflammation",Indica,Lab-Only - All data from laboratory testing,79,"Lab-Verified: 79 samples from Analytical 360, PSI Labs, SC Labs"
Gorilla Glue,9.2,0.07,0.06,0.0048,0.0066,0.012,0.0013,0.006,0.0114,0.0005,0.0,"Euphoria,Focus,Creativity","Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,77,"Lab-Verified: 77 samples from Analytical 360, PSI Labs, SC Labs"
Sour Tsunami,0.3,0.95,0.14,0.004,0.0031,0.0032,0.003,0.0012,0.003,0.0014,0.001,Happiness,"Inflammation,Stress",Hybrid,Lab-Only - All data from laboratory testing,77,"Lab-Verified: 77 samples from Analytical 360, SC Labs"
Cotton Candy,3.2,0.21,0.19,0.0018,0.0013,0.0041,0.0062,0.0037,0.009,0.0004,0.0004,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,73,Lab-Verified: 73 samples from Analytical 360
Trainwreck,18.0,0.1,0.0,0.0074,0.0047,0.0091,0.0097,0.0065,0.0069,0.0116,0.0268,"Energy,Euphoria,Creativity","Depression,Stress,Pain,Fatigue",Hybrid,Hybrid - Lab terpenes + Manual metadata,69,Hybrid: Lab terpenes (69 samples) + Manual metadata
AK-47,20.0,0.1,0.0,0.0055,0.0007,0.0044,0.0106,0.0029,0.0056,0.0002,0.0004,"Relaxation,Euphoria,Creativity","Stress,Depression,Pain,Anxiety",Hybrid,Hybrid - Lab terpenes + Manual metadata,66,Hybrid: Lab terpenes (66 samples) + Manual metadata
Master Kush,2.8,0.09,0.13,0.0025,0.0049,0.0048,0.0106,0.0045,0.0079,0.0003,0.0,"Sedation,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,65,"Lab-Verified: 65 samples from Analytical 360, PSI Labs, SC Labs"
Afgoo,2.4,0.26,0.11,0.0092,0.0009,0.0041,0.0097,0.0039,0.0044,0.0002,0.0012,"Relaxation,Sedation","Pain,Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,64,"Lab-Verified: 64 samples from Analytical 360, SC Labs"
Girl Scout Cookie,4.8,0.12,0.08,0.0041,0.0022,0.007,0.0068,0.005,0.0089,0.0004,0.0,Happiness,"Pain,Stress",Hybrid,Lab-Only - All data from laboratory testing,64,"Lab-Verified: 64 samples from Analytical 360, PSI Labs, SC Labs"
Chocolope,2.2,0.09,0.08,0.0039,0.0014,0.0061,0.0074,0.0025,0.0042,0.0001,0.0,Happiness,"Pain,Anxiety",Hybrid,Lab-Only - All data from laboratory testing,63,"Lab-Verified: 63 samples from Analytical 360, PSI Labs, SC Labs"
Northern Lights,16.0,0.1,0.3,0.005,0.0009,0.0056,0.0111,0.0036,0.0068,0.0006,0.0007,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,60,Hybrid: Lab terpenes (60 samples) + Manual metadata
ATF,2.7,0.13,0.19,0.003,0.0004,0.0064,0.0086,0.0034,0.0092,0.0011,0.0002,Happiness,"Pain,Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,56,Lab-Verified: 56 samples from Analytical 360
Grapefruit,2.3,0.14,0.14,0.0039,0.0019,0.005,0.0052,0.0016,0.0077,0.0007,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,56,"Lab-Verified: 56 samples from Analytical 360, SC Labs"
Durban Poison,15.0,0.1,0.0,0.0024,0.0059,0.0056,0.0046,0.0022,0.0072,0.0104,0.0002,"Energy,Focus,Euphoria","Fatigue,Depression,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,54,Hybrid: Lab terpenes (54 samples) + Manual metadata
Headband,17.0,0.1,0.0,0.0092,0.0072,0.0126,0.0053,0.0042,0.0106,0.001,0.0001,"Relaxation,Euphoria,Creativity","Pain,Stress,Depression,Anxiety",Hybrid,Hybrid - Lab terpenes + Manual metadata,53,Hybrid: Lab terpenes (53 samples) + Manual metadata
Lavender,2.1,0.13,0.15,0.0035,0.0032,0.0044,0.0067,0.0051,0.0053,0.0012,0.0006,Focus,Stress,Hybrid,Lab-Only - All data from laboratory testing,53,"Lab-Verified: 53 samples from Analytical 360, PSI Labs, SC Labs"
Plushberry,2.3,0.1,0.07,0.0056,0.0024,0.0051,0.0112,0.0049,0.0029,0.0011,0.0,Sedation,"Anxiety,Stress",Indica,Lab-Only - All data from laboratory testing,53,"Lab-Verified: 53 samples from Analytical 360, PSI Labs"
Blue Cheese,0.8,0.16,0.06,0.0047,0.0042,0.0049,0.0116,0.005,0.0057,0.0008,0.0002,"Sedation,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,52,"Lab-Verified: 52 samples from Analytical 360, PSI Labs, SC Labs"
Remedy,1.3,2.55,0.15,0.0032,0.0003,0.0021,0.0065,0.0017,0.0006,0.0002,0.0,Happiness,"Inflammation,Stress",Hybrid,Lab-Only - All data from laboratory testing,52,Lab-Verified: 52 samples from Analytical 360
Ace of Spades,0.8,0.11,0.08,0.0059,0.0035,0.0045,0.0105,0.0046,0.0048,0.0014,0.0,Sedation,"Anxiety,Stress",Indica,Lab-Only - All data from laboratory testing,49,"Lab-Verified: 49 samples from Analytical 360, PSI Labs"
God Bud,0.7,0.11,0.13,0.0029,0.0016,0.0037,0.0127,0.0031,0.0035,0.0005,0.0,Sedation,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,49,Lab-Verified: 49 samples from Analytical 360
Purple Arrow,0.9,0.15,0.19,0.0025,0.0001,0.0089,0.0087,0.005,0.0026,0.0009,0.0,Happiness,"Pain,Anxiety,Insomnia,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,49,Lab-Verified: 49 samples from Analytical 360
The White,2.4,0.14,0.06,0.0023,0.0011,0.006,0.0025,0.0056,0.0063,0.0005,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,49,"Lab-Verified: 49 samples from Analytical 360, PSI Labs, SC Labs"
Cheese,2.4,0.12,0.06,0.0037,0.0032,0.0092,0.0099,0.0045,0.0081,0.0008,0.0,Happiness,"Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,48,"Lab-Verified: 48 samples from Analytical 360, PSI Labs, SC Labs"
Cynex,0.6,0.11,0.05,0.001,0.0006,0.0043,0.0148,0.0042,0.0105,0.0005,0.0,Sedation,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,48,Lab-Verified: 48 samples from Analytical 360
Lemon Skunk,1.7,0.09,0.1,0.002,0.0055,0.0078,0.0141,0.0013,0.0059,0.0023,0.0,"Sedation,Euphoria,Creativity","Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,48,"Lab-Verified: 48 samples from Analytical 360, PSI Labs, SC Labs"
Platinum Girl Scout Cookies,1.4,0.09,0.16,0.0021,0.0013,0.0076,0.014,0.0061,0.0129,0.0002,0.0,Sedation,"Pain,Anxiety,Insomnia,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,48,"Lab-Verified: 48 samples from Analytical 360, PSI Labs, SC Labs"
BHO Blue Dream,6.4,0.49,0.21,0.0029,0.0049,0.017,0.0427,0.0141,0.0085,0.0021,0.0,"Sedation,Focus,Creativity","Pain,Anxiety,Insomnia,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,47,Lab-Verified: 47 samples from Analytical 360
Bubble Gum,2.8,0.12,0.09,0.0075,0.0029,0.0055,0.0085,0.004,0.0095,0.0003,0.0002,Relaxation,"Pain,Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,46,"Lab-Verified: 46 samples from Analytical 360, PSI Labs, SC Labs"
Blackberry,1.1,0.14,0.08,0.0041,0.0002,0.0052,0.0072,0.0035,0.0057,0.0,0.0,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,44,"Lab-Verified: 44 samples from Analytical 360, PSI Labs"
