strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source
Romulan,0.8,0.12,0.16,0.0047,0.0002,0.0053,0.0084,0.0026,0.012,0.0009,0.0,Happiness,"Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,44,"Lab-Verified: 44 samples from Analytical 360, PSI Labs"
White Rhino,0.9,0.14,0.16,0.0047,0.0043,0.0043,0.0092,0.0023,0.0066,0.0015,0.0,Creativity,"Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,43,Lab-Verified: 43 samples from Analytical 360
Grand Daddy Purple,3.7,0.1,0.15,0.0188,0.0028,0.0088,0.0068,0.0135,0.0076,0.0002,0.0076,"Relaxation,Sedation","Pain,Insomnia,Inflammation",Indica,Lab-Only - All data from laboratory testing,42,"Lab-Verified: 42 samples from Analytical 360, PSI Labs, SC Labs"
Jack the Ripper,1.3,0.14,0.1,0.0019,0.0066,0.0038,0.009,0.0033,0.0041,0.0038,0.0004,"Euphoria,Creativity","Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,42,"Lab-Verified: 42 samples from Analytical 360, SC Labs"
Strawberry Cough,15.0,0.1,0.0,0.0246,0.0032,0.0059,0.0117,0.0113,0.0041,0.0012,0.0259,"Energy,Euphoria,Focus","Stress,Depression,Fatigue,Anxiety",Sativa,Hybrid - Lab terpenes + Manual metadata,42,Hybrid: Lab terpenes (42 samples) + Manual metadata
Black Cherry Soda,0.6,0.14,0.16,0.0021,0.0012,0.0046,0.0041,0.0016,0.0033,0.0007,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,41,Lab-Verified: 41 samples from Analytical 360
Critical Mass,1.5,0.77,0.09,0.0035,0.0,0.0043,0.0076,0.0027,0.0074,0.0005,0.0,Happiness,"Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,41,Lab-Verified: 41 samples from Analytical 360
XJ-13,18.0,0.1,0.0,0.0013,0.0082,0.0054,0.0087,0.001,0.004,0.0039,0.0012,"Energy,Focus,Euphoria","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,41,Hybrid: Lab terpenes (41 samples) + Manual metadata
Agent Orange,3.5,0.09,0.08,0.0052,0.0008,0.0021,0.0018,0.0011,0.0027,0.0007,0.0,Happiness,Stress,Indica,Lab-Only - All data from laboratory testing,40,"Lab-Verified: 40 samples from Analytical 360, PSI Labs"
GDP,4.4,0.11,0.19,0.0056,0.0012,0.0041,0.0079,0.0065,0.0052,0.0001,0.0009,Happiness,"Anxiety,Stress",Indica,Lab-Only - All data from laboratory testing,40,"Lab-Verified: 40 samples from Analytical 360, SC Labs"
ACDC,6.0,14.0,0.0,0.0219,0.002,0.004,0.0,0.0185,0.0023,0.0015,0.0,"Relaxation,Clarity,Focus","Pain,Anxiety,Inflammation,Seizures",Sativa,Hybrid - Lab terpenes + Manual metadata,39,Hybrid: Lab terpenes (39 samples) + Manual metadata
Kimbo Kush,0.7,0.13,0.01,0.0007,0.0007,0.005,0.002,0.0012,0.0052,0.0,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,39,"Lab-Verified: 39 samples from Analytical 360, PSI Labs, SC Labs"
Hawaiian Dutch,0.9,0.16,0.49,0.009,0.0022,0.0024,0.0124,0.0008,0.003,0.0007,0.0,"Relaxation,Sedation","Pain,Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,38,Lab-Verified: 38 samples from Analytical 360
LA Confidential,16.0,0.1,0.2,0.0024,0.0036,0.005,0.014,0.0051,0.0097,0.0,0.0001,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,38,Hybrid: Lab terpenes (38 samples) + Manual metadata
AC/DC,0.6,0.76,0.15,0.0068,0.0016,0.0036,0.0011,0.0027,0.0023,0.0009,0.0007,Relaxation,"Pain,Inflammation",Indica,Lab-Only - All data from laboratory testing,37,"Lab-Verified: 37 samples from Analytical 360, SC Labs"
Blue Rhino,2.4,0.19,0.18,0.0042,0.0056,0.0056,0.0122,0.004,0.0027,0.0008,0.0,"Sedation,Euphoria,Creativity","Anxiety,Insomnia",Hybrid,Lab-Only - All data from laboratory testing,36,"Lab-Verified: 36 samples from Analytical 360, PSI Labs"
White Russian,1.2,0.12,0.08,0.0038,0.0025,0.004,0.0095,0.0027,0.0051,0.0017,0.0004,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,36,Lab-Verified: 36 samples from Analytical 360
Purple Urkle,0.7,0.08,0.16,0.0056,0.0035,0.0039,0.0093,0.0065,0.0076,0.0009,0.0,Focus,"Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,35,"Lab-Verified: 35 samples from Analytical 360, SC Labs"
Grape God,3.1,0.2,0.1,0.0059,0.002,0.0082,0.0123,0.0039,0.0047,0.0011,0.0001,Sedation,"Pain,Anxiety,Inflammation",Indica,Lab-Only - All data from laboratory testing,34,Lab-Verified: 34 samples from Analytical 360
Pineapple Chunk,4.2,0.15,0.1,0.0034,0.0018,0.0085,0.0114,0.0034,0.0066,0.0023,0.0,Sedation,"Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,34,"Lab-Verified: 34 samples from Analytical 360, PSI Labs, SC Labs"
Sensi Star,1.4,0.14,0.12,0.0091,0.0083,0.008,0.0116,0.0059,0.0089,0.01,0.04,"Relaxation,Sedation,Euphoria","Pain,Anxiety,Insomnia,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,34,"Lab-Verified: 34 samples from Analytical 360, PSI Labs"
Sour OG,2.1,0.1,0.08,0.0023,0.0008,0.0047,0.0078,0.0057,0.0115,0.0005,0.0,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,34,"Lab-Verified: 34 samples from Analytical 360, PSI Labs, SC Labs"
Tangerine Dream,5.8,0.15,0.37,0.0041,0.0119,0.0036,0.0125,0.0044,0.0045,0.0008,0.0,"Sedation,Euphoria,Energy","Anxiety,Insomnia,Depression",Sativa,Lab-Only - All data from laboratory testing,34,"Lab-Verified: 34 samples from Analytical 360, PSI Labs"
Chem Dawg,4.4,0.1,0.02,0.0046,0.0051,0.0076,0.0041,0.0041,0.0091,0.0017,0.0,"Euphoria,Creativity","Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,33,"Lab-Verified: 33 samples from Analytical 360, PSI Labs, SC Labs"
LSD,2.8,0.16,0.08,0.0025,0.0033,0.0059,0.0032,0.0026,0.0053,0.0042,0.0,Creativity,Stress,Hybrid,Lab-Only - All data from laboratory testing,33,"Lab-Verified: 33 samples from Analytical 360, PSI Labs, SC Labs"
Skywalker OG,3.8,0.04,0.03,0.0075,0.0036,0.0049,0.0086,0.0038,0.0064,0.0004,0.0001,Relaxation,"Pain,Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,33,"Lab-Verified: 33 samples from Analytical 360, PSI Labs, SC Labs"
Snoopâ€™s Dream,1.6,0.15,0.04,0.0046,0.0022,0.0047,0.0036,0.0062,0.0042,0.0011,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,33,Lab-Verified: 33 samples from Analytical 360
Albert Walker,0.6,0.15,0.05,0.0014,0.0082,0.0045,0.0147,0.0042,0.0051,0.0012,0.0,"Sedation,Euphoria,Energy","Anxiety,Depression",Sativa,Lab-Only - All data from laboratory testing,32,Lab-Verified: 32 samples from Analytical 360
Purple Diesel,1.2,0.16,0.14,0.0062,0.0025,0.0049,0.008,0.0063,0.0095,0.0003,0.0,Relaxation,"Pain,Anxiety",Indica,Lab-Only - All data from laboratory testing,32,"Lab-Verified: 32 samples from Analytical 360, PSI Labs, SC Labs"
BHO Dutch Treat,5.0,0.44,0.4,0.0022,0.02,0.0113,0.0826,0.0071,0.0069,0.0044,0.0,"Sedation,Euphoria,Energy","Pain,Anxiety,Insomnia,Inflammation",Sativa,Lab-Only - All data from laboratory testing,31,Lab-Verified: 31 samples from Analytical 360
Dairy Queen,0.7,0.14,0.1,0.0034,0.0096,0.0075,0.0081,0.003,0.0036,0.0004,0.0,"Euphoria,Energy,Creativity","Pain,Anxiety,Inflammation,Depression",Sativa,Lab-Only - All data from laboratory testing,31,Lab-Verified: 31 samples from Analytical 360
Fire OG,5.7,0.08,0.06,0.0047,0.0038,0.0061,0.0046,0.0031,0.0065,0.0002,0.0001,Happiness,"Pain,Stress",Hybrid,Lab-Only - All data from laboratory testing,31,"Lab-Verified: 31 samples from Analytical 360, PSI Labs, SC Labs"
Lemon OG,1.8,0.12,0.07,0.003,0.0028,0.0081,0.0049,0.0042,0.007,0.0004,0.0002,Happiness,"Pain,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,31,"Lab-Verified: 31 samples from Analytical 360, PSI Labs, SC Labs"
True OG,4.6,0.18,0.18,0.0038,0.0018,0.0072,0.0026,0.0047,0.0095,0.0014,0.0,Happiness,"Pain,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,31,"Lab-Verified: 31 samples from Analytical 360, SC Labs"
Blue Magoo,0.9,0.2,0.11,0.0032,0.0008,0.0039,0.0076,0.0068,0.0089,0.0004,0.0,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,30,Lab-Verified: 30 samples from Analytical 360
Maui Wowie,13.0,0.1,0.0,0.006,0.007,0.0055,0.0206,0.0044,0.0091,0.0023,0.0,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Pain",Sativa,Hybrid - Lab terpenes + Manual metadata,30,Hybrid: Lab terpenes (30 samples) + Manual metadata
Blue City Diesel,1.0,0.16,0.11,0.0045,0.0016,0.0062,0.0076,0.0047,0.008,0.0004,0.0004,Happiness,"Pain,Anxiety",Hybrid,Lab-Only - All data from laboratory testing,28,Lab-Verified: 28 samples from Analytical 360
Granddaddy Purple,17.0,0.1,0.5,0.0317,0.0025,0.0112,0.0133,0.0128,0.0081,0.0008,0.0145,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Appetite",Indica,Hybrid - Lab terpenes + Manual metadata,28,Hybrid: Lab terpenes (28 samples) + Manual metadata
Royal Kush,2.0,0.12,0.08,0.009,0.0004,0.0031,0.0034,0.0058,0.0088,0.0,0.0017,"Relaxation,Sedation","Pain,Insomnia",Indica,Lab-Only - All data from laboratory testing,28,"Lab-Verified: 28 samples from Analytical 360, SC Labs"
Black Jack,1.0,0.06,0.05,0.0032,0.0013,0.005,0.0059,0.0018,0.0038,0.0035,0.0019,Creativity,Stress,Hybrid,Lab-Only - All data from laboratory testing,27,"Lab-Verified: 27 samples from Analytical 360, SC Labs"
Hindu Kush,15.0,0.1,0.2,0.002,0.0029,0.0054,0.0047,0.0033,0.0112,0.0007,0.0,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,27,Hybrid: Lab terpenes (27 samples) + Manual metadata
Jilly Bean,1.2,0.09,0.07,0.0047,0.0008,0.0022,0.0042,0.0011,0.0032,0.0008,0.0004,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,27,"Lab-Verified: 27 samples from Analytical 360, PSI Labs, SC Labs"
Querkle,0.6,0.12,0.07,0.0056,0.0034,0.0047,0.005,0.004,0.0041,0.0008,0.0,Happiness,Stress,Indica,Lab-Only - All data from laboratory testing,27,Lab-Verified: 27 samples from Analytical 360
Pineapple,1.4,0.14,0.05,0.0032,0.0034,0.0058,0.0108,0.0029,0.0055,0.0009,0.0018,Sedation,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,26,"Lab-Verified: 26 samples from Analytical 360, SC Labs"
Animal Cookies,0.9,0.08,0.04,0.0015,0.0016,0.0067,0.0006,0.0062,0.0077,0.0,0.0,Happiness,"Pain,Stress",Hybrid,Lab-Only - All data from laboratory testing,25,"Lab-Verified: 25 samples from Analytical 360, SC Labs"
Tangie,19.0,0.1,0.0,0.0096,0.0382,0.0072,0.0052,0.0112,0.0028,0.0018,0.0001,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,25,Hybrid: Lab terpenes (25 samples) + Manual metadata
9 Pound Hammer,18.0,0.1,0.4,0.56,0.08,0.22,0.08,0.04,0.02,0.0,0.0,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset
Afghan Kush,15.0,0.1,0.3,0.55,0.1,0.22,0.08,0.03,0.02,0.0,0.0,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Terpene Parser
Amnesia Haze,20.0,0.1,0.0,0.28,0.32,0.12,0.11,0.12,0.03,0.02,0.0,"Energy,Euphoria,Creativity","Depression,Stress,Fatigue,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Candyland,19.0,0.1,0.0,0.22,0.38,0.15,0.05,0.12,0.05,0.03,0.0,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Chemdawg,19.0,0.1,0.0,0.4,0.25,0.2,0.05,0.08,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Pain,Stress,Depression,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset
Do-Si-Dos,19.0,0.1,0.2,0.42,0.18,0.25,0.08,0.05,0.02,0.0,0.0,"Relaxation,Sedation,Euphoria","Insomnia,Pain,Stress,Appetite",Indica,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset
Gelato,18.0,0.1,0.1,0.38,0.22,0.22,0.1,0.06,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Pain,Stress,Insomnia,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
God's Gift,18.0,0.1,0.3,0.52,0.1,0.22,0.1,0.04,0.02,0.0,0.0,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Appetite",Indica,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset
Purple Haze,16.0,0.1,0.0,0.3,0.28,0.12,0.08,0.15,0.05,0.02,0.0,"Energy,Euphoria,Creativity","Depression,Stress,Fatigue,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Terpene Parser
Purple Punch,18.0,0.1,0.3,0.54,0.08,0.2,0.12,0.04,0.02,0.0,0.0,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Runtz,19.0,0.1,0.1,0.4,0.28,0.18,0.08,0.04,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Stress,Pain,Anxiety,Insomnia",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Wedding Cake,19.0,0.1,0.1,0.4,0.2,0.24,0.09,0.05,0.02,0.0,0.0,"Relaxation,Euphoria,Happiness","Pain,Stress,Insomnia,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
Zkittlez,15.0,0.1,0.1,0.45,0.2,0.18,0.1,0.05,0.02,0.0,0.0,"Relaxation,Euphoria,Happiness","Stress,Pain,Insomnia,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Strain Data Project
