strain_name,thc_percent,cbd_percent,cbn_percent,cannabinoid_source,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,terpene_source,primary_effects,medical_uses,effects_source,strain_type,type_source,data_quality,sample_count,lab_sources,manual_source
Romulan,0.8,0.12,0.16,Lab-Verified (44 samples),0.0047,0.0002,0.0053,0.0084,0.0026,0.012,0.0009,0.0,"Lab-Verified (44 samples from Analytical 360, PSI Labs)",Happiness,"Anxiety,Insomnia",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,44,"Analytical 360, PSI Labs",None
White Rhino,0.9,0.14,0.16,Lab-Verified (43 samples),0.0047,0.0043,0.0043,0.0092,0.0023,0.0066,0.0015,0.0,Lab-Verified (43 samples from Analytical 360),Creativity,"Anxiety,Insomnia",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,43,Analytical 360,None
Grand Daddy Purple,3.7,0.1,0.15,Lab-Verified (42 samples),0.0188,0.0028,0.0088,0.0068,0.0135,0.0076,0.0002,0.0076,"Lab-Verified (42 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Sedation","Pain,Insomnia,Inflammation",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,42,"Analytical 360, PSI Labs, SC Labs",None
Jack the Ripper,1.3,0.14,0.1,Lab-Verified (42 samples),0.0019,0.0066,0.0038,0.009,0.0033,0.0041,0.0038,0.0004,"Lab-Verified (42 samples from Analytical 360, SC Labs)","Euphoria,Creativity","Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,42,"Analytical 360, SC Labs",None
Strawberry Cough,15.0,0.1,0.0,Manual (Terpene Parser),0.0246,0.0032,0.0059,0.0117,0.0113,0.0041,0.0012,0.0259,"Lab-Verified (42 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Euphoria,Focus","Stress,Depression,Fatigue,Anxiety",Manual (Terpene Parser),Sativa,Manual (Terpene Parser),Hybrid - Lab terpenes + Manual metadata,42,"Analytical 360, PSI Labs, SC Labs",Terpene Parser
Black Cherry Soda,0.6,0.14,0.16,Lab-Verified (41 samples),0.0021,0.0012,0.0046,0.0041,0.0016,0.0033,0.0007,0.0,Lab-Verified (41 samples from Analytical 360),Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,41,Analytical 360,None
Critical Mass,1.5,0.77,0.09,Lab-Verified (41 samples),0.0035,0.0,0.0043,0.0076,0.0027,0.0074,0.0005,0.0,Lab-Verified (41 samples from Analytical 360),Happiness,"Anxiety,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,41,Analytical 360,None
XJ-13,18.0,0.1,0.0,Manual (Terpene Parser),0.0013,0.0082,0.0054,0.0087,0.001,0.004,0.0039,0.0012,"Lab-Verified (41 samples from Analytical 360, SC Labs)","Energy,Focus,Euphoria","Depression,Fatigue,Stress,Focus",Manual (Terpene Parser),Sativa,Manual (Terpene Parser),Hybrid - Lab terpenes + Manual metadata,41,"Analytical 360, SC Labs",Terpene Parser
Agent Orange,3.5,0.09,0.08,Lab-Verified (40 samples),0.0052,0.0008,0.0021,0.0018,0.0011,0.0027,0.0007,0.0,"Lab-Verified (40 samples from Analytical 360, PSI Labs)",Happiness,Stress,Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,40,"Analytical 360, PSI Labs",None
GDP,4.4,0.11,0.19,Lab-Verified (40 samples),0.0056,0.0012,0.0041,0.0079,0.0065,0.0052,0.0001,0.0009,"Lab-Verified (40 samples from Analytical 360, SC Labs)",Happiness,"Anxiety,Stress",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,40,"Analytical 360, SC Labs",None
ACDC,6.0,14.0,0.0,Manual (Lab Verified),0.0219,0.002,0.004,0.0,0.0185,0.0023,0.0015,0.0,"Lab-Verified (39 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Clarity,Focus","Pain,Anxiety,Inflammation,Seizures",Manual (Lab Verified),Sativa,Manual (Lab Verified),Hybrid - Lab terpenes + Manual metadata,39,"Analytical 360, PSI Labs, SC Labs",Lab Verified
Kimbo Kush,0.7,0.13,0.01,Lab-Verified (39 samples),0.0007,0.0007,0.005,0.002,0.0012,0.0052,0.0,0.0,"Lab-Verified (39 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,39,"Analytical 360, PSI Labs, SC Labs",None
Hawaiian Dutch,0.9,0.16,0.49,Lab-Verified (38 samples),0.009,0.0022,0.0024,0.0124,0.0008,0.003,0.0007,0.0,Lab-Verified (38 samples from Analytical 360),"Relaxation,Sedation","Pain,Anxiety,Insomnia",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,38,Analytical 360,None
LA Confidential,16.0,0.1,0.2,Manual (Strain Data Project),0.0024,0.0036,0.005,0.014,0.0051,0.0097,0.0,0.0001,"Lab-Verified (38 samples from Analytical 360, PSI Labs, SC Labs)","Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Manual (Strain Data Project),Indica,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,38,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
AC/DC,0.6,0.76,0.15,Lab-Verified (37 samples),0.0068,0.0016,0.0036,0.0011,0.0027,0.0023,0.0009,0.0007,"Lab-Verified (37 samples from Analytical 360, SC Labs)",Relaxation,"Pain,Inflammation",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,37,"Analytical 360, SC Labs",None
Blue Rhino,2.4,0.19,0.18,Lab-Verified (36 samples),0.0042,0.0056,0.0056,0.0122,0.004,0.0027,0.0008,0.0,"Lab-Verified (36 samples from Analytical 360, PSI Labs)","Sedation,Euphoria,Creativity","Anxiety,Insomnia",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,36,"Analytical 360, PSI Labs",None
White Russian,1.2,0.12,0.08,Lab-Verified (36 samples),0.0038,0.0025,0.004,0.0095,0.0027,0.0051,0.0017,0.0004,Lab-Verified (36 samples from Analytical 360),Happiness,"Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,36,Analytical 360,None
Purple Urkle,0.7,0.08,0.16,Lab-Verified (35 samples),0.0056,0.0035,0.0039,0.0093,0.0065,0.0076,0.0009,0.0,"Lab-Verified (35 samples from Analytical 360, SC Labs)",Focus,"Anxiety,Insomnia",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,35,"Analytical 360, SC Labs",None
Grape God,3.1,0.2,0.1,Lab-Verified (34 samples),0.0059,0.002,0.0082,0.0123,0.0039,0.0047,0.0011,0.0001,Lab-Verified (34 samples from Analytical 360),Sedation,"Pain,Anxiety,Inflammation",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,34,Analytical 360,None
Pineapple Chunk,4.2,0.15,0.1,Lab-Verified (34 samples),0.0034,0.0018,0.0085,0.0114,0.0034,0.0066,0.0023,0.0,"Lab-Verified (34 samples from Analytical 360, PSI Labs, SC Labs)",Sedation,"Pain,Anxiety,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,34,"Analytical 360, PSI Labs, SC Labs",None
Sensi Star,1.4,0.14,0.12,Lab-Verified (34 samples),0.0091,0.0083,0.008,0.0116,0.0059,0.0089,0.01,0.04,"Lab-Verified (34 samples from Analytical 360, PSI Labs)","Relaxation,Sedation,Euphoria","Pain,Anxiety,Insomnia,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,34,"Analytical 360, PSI Labs",None
Sour OG,2.1,0.1,0.08,Lab-Verified (34 samples),0.0023,0.0008,0.0047,0.0078,0.0057,0.0115,0.0005,0.0,"Lab-Verified (34 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,"Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,34,"Analytical 360, PSI Labs, SC Labs",None
Tangerine Dream,5.8,0.15,0.37,Lab-Verified (34 samples),0.0041,0.0119,0.0036,0.0125,0.0044,0.0045,0.0008,0.0,"Lab-Verified (34 samples from Analytical 360, PSI Labs)","Sedation,Euphoria,Energy","Anxiety,Insomnia,Depression",Auto-generated from terpene profile,Sativa,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,34,"Analytical 360, PSI Labs",None
Chem Dawg,4.4,0.1,0.02,Lab-Verified (33 samples),0.0046,0.0051,0.0076,0.0041,0.0041,0.0091,0.0017,0.0,"Lab-Verified (33 samples from Analytical 360, PSI Labs, SC Labs)","Euphoria,Creativity","Pain,Anxiety,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,33,"Analytical 360, PSI Labs, SC Labs",None
LSD,2.8,0.16,0.08,Lab-Verified (33 samples),0.0025,0.0033,0.0059,0.0032,0.0026,0.0053,0.0042,0.0,"Lab-Verified (33 samples from Analytical 360, PSI Labs, SC Labs)",Creativity,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,33,"Analytical 360, PSI Labs, SC Labs",None
Skywalker OG,3.8,0.04,0.03,Lab-Verified (33 samples),0.0075,0.0036,0.0049,0.0086,0.0038,0.0064,0.0004,0.0001,"Lab-Verified (33 samples from Analytical 360, PSI Labs, SC Labs)",Relaxation,"Pain,Anxiety,Insomnia",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,33,"Analytical 360, PSI Labs, SC Labs",None
Snoopâ€™s Dream,1.6,0.15,0.04,Lab-Verified (33 samples),0.0046,0.0022,0.0047,0.0036,0.0062,0.0042,0.0011,0.0,Lab-Verified (33 samples from Analytical 360),Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,33,Analytical 360,None
Albert Walker,0.6,0.15,0.05,Lab-Verified (32 samples),0.0014,0.0082,0.0045,0.0147,0.0042,0.0051,0.0012,0.0,Lab-Verified (32 samples from Analytical 360),"Sedation,Euphoria,Energy","Anxiety,Depression",Auto-generated from terpene profile,Sativa,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,32,Analytical 360,None
Purple Diesel,1.2,0.16,0.14,Lab-Verified (32 samples),0.0062,0.0025,0.0049,0.008,0.0063,0.0095,0.0003,0.0,"Lab-Verified (32 samples from Analytical 360, PSI Labs, SC Labs)",Relaxation,"Pain,Anxiety",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,32,"Analytical 360, PSI Labs, SC Labs",None
BHO Dutch Treat,5.0,0.44,0.4,Lab-Verified (31 samples),0.0022,0.02,0.0113,0.0826,0.0071,0.0069,0.0044,0.0,Lab-Verified (31 samples from Analytical 360),"Sedation,Euphoria,Energy","Pain,Anxiety,Insomnia,Inflammation",Auto-generated from terpene profile,Sativa,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,31,Analytical 360,None
Dairy Queen,0.7,0.14,0.1,Lab-Verified (31 samples),0.0034,0.0096,0.0075,0.0081,0.003,0.0036,0.0004,0.0,Lab-Verified (31 samples from Analytical 360),"Euphoria,Energy,Creativity","Pain,Anxiety,Inflammation,Depression",Auto-generated from terpene profile,Sativa,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,31,Analytical 360,None
Fire OG,5.7,0.08,0.06,Lab-Verified (31 samples),0.0047,0.0038,0.0061,0.0046,0.0031,0.0065,0.0002,0.0001,"Lab-Verified (31 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,"Pain,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,31,"Analytical 360, PSI Labs, SC Labs",None
Lemon OG,1.8,0.12,0.07,Lab-Verified (31 samples),0.003,0.0028,0.0081,0.0049,0.0042,0.007,0.0004,0.0002,"Lab-Verified (31 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,"Pain,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,31,"Analytical 360, PSI Labs, SC Labs",None
True OG,4.6,0.18,0.18,Lab-Verified (31 samples),0.0038,0.0018,0.0072,0.0026,0.0047,0.0095,0.0014,0.0,"Lab-Verified (31 samples from Analytical 360, SC Labs)",Happiness,"Pain,Inflammation",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,31,"Analytical 360, SC Labs",None
Blue Magoo,0.9,0.2,0.11,Lab-Verified (30 samples),0.0032,0.0008,0.0039,0.0076,0.0068,0.0089,0.0004,0.0,Lab-Verified (30 samples from Analytical 360),Happiness,"Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,30,Analytical 360,None
Maui Wowie,13.0,0.1,0.0,Manual (Terpene Parser),0.006,0.007,0.0055,0.0206,0.0044,0.0091,0.0023,0.0,Lab-Verified (30 samples from Analytical 360),"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Pain",Manual (Terpene Parser),Sativa,Manual (Terpene Parser),Hybrid - Lab terpenes + Manual metadata,30,Analytical 360,Terpene Parser
Blue City Diesel,1.0,0.16,0.11,Lab-Verified (28 samples),0.0045,0.0016,0.0062,0.0076,0.0047,0.008,0.0004,0.0004,Lab-Verified (28 samples from Analytical 360),Happiness,"Pain,Anxiety",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,28,Analytical 360,None
Granddaddy Purple,17.0,0.1,0.5,Manual (Mendeley Dataset),0.0317,0.0025,0.0112,0.0133,0.0128,0.0081,0.0008,0.0145,"Lab-Verified (28 samples from Analytical 360, PSI Labs, SC Labs)","Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Appetite",Manual (Mendeley Dataset),Indica,Manual (Mendeley Dataset),Hybrid - Lab terpenes + Manual metadata,28,"Analytical 360, PSI Labs, SC Labs",Mendeley Dataset
Royal Kush,2.0,0.12,0.08,Lab-Verified (28 samples),0.009,0.0004,0.0031,0.0034,0.0058,0.0088,0.0,0.0017,"Lab-Verified (28 samples from Analytical 360, SC Labs)","Relaxation,Sedation","Pain,Insomnia",Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,28,"Analytical 360, SC Labs",None
Black Jack,1.0,0.06,0.05,Lab-Verified (27 samples),0.0032,0.0013,0.005,0.0059,0.0018,0.0038,0.0035,0.0019,"Lab-Verified (27 samples from Analytical 360, SC Labs)",Creativity,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,27,"Analytical 360, SC Labs",None
Hindu Kush,15.0,0.1,0.2,Manual (Mendeley Dataset),0.002,0.0029,0.0054,0.0047,0.0033,0.0112,0.0007,0.0,"Lab-Verified (27 samples from Analytical 360, PSI Labs, SC Labs)","Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Manual (Mendeley Dataset),Indica,Manual (Mendeley Dataset),Hybrid - Lab terpenes + Manual metadata,27,"Analytical 360, PSI Labs, SC Labs",Mendeley Dataset
Jilly Bean,1.2,0.09,0.07,Lab-Verified (27 samples),0.0047,0.0008,0.0022,0.0042,0.0011,0.0032,0.0008,0.0004,"Lab-Verified (27 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,Stress,Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,27,"Analytical 360, PSI Labs, SC Labs",None
Querkle,0.6,0.12,0.07,Lab-Verified (27 samples),0.0056,0.0034,0.0047,0.005,0.004,0.0041,0.0008,0.0,Lab-Verified (27 samples from Analytical 360),Happiness,Stress,Auto-generated from terpene profile,Indica,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,27,Analytical 360,None
Pineapple,1.4,0.14,0.05,Lab-Verified (26 samples),0.0032,0.0034,0.0058,0.0108,0.0029,0.0055,0.0009,0.0018,"Lab-Verified (26 samples from Analytical 360, SC Labs)",Sedation,"Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,26,"Analytical 360, SC Labs",None
Animal Cookies,0.9,0.08,0.04,Lab-Verified (25 samples),0.0015,0.0016,0.0067,0.0006,0.0062,0.0077,0.0,0.0,"Lab-Verified (25 samples from Analytical 360, SC Labs)",Happiness,"Pain,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,25,"Analytical 360, SC Labs",None
Tangie,19.0,0.1,0.0,Manual (Strain Data Project),0.0096,0.0382,0.0072,0.0052,0.0112,0.0028,0.0018,0.0001,"Lab-Verified (25 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Manual (Strain Data Project),Sativa,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,25,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
9 Pound Hammer,18.0,0.1,0.4,Manual (Mendeley Dataset),0.56,0.08,0.22,0.08,0.04,0.02,0.0,0.0,Manual (Mendeley Dataset),"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Manual (Mendeley Dataset),Indica,Manual (Mendeley Dataset),Manual-Only - Curated from research sources,1,None,Mendeley Dataset
Afghan Kush,15.0,0.1,0.3,Manual (Terpene Parser),0.55,0.1,0.22,0.08,0.03,0.02,0.0,0.0,Manual (Terpene Parser),"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Manual (Terpene Parser),Indica,Manual (Terpene Parser),Manual-Only - Curated from research sources,1,None,Terpene Parser
Amnesia Haze,20.0,0.1,0.0,Manual (Strain Data Project),0.28,0.32,0.12,0.11,0.12,0.03,0.02,0.0,Manual (Strain Data Project),"Energy,Euphoria,Creativity","Depression,Stress,Fatigue,Pain",Manual (Strain Data Project),Sativa,Manual (Strain Data Project),Manual-Only - Curated from research sources,1,None,Strain Data Project
Candyland,19.0,0.1,0.0,Manual (Strain Data Project),0.22,0.38,0.15,0.05,0.12,0.05,0.03,0.0,Manual (Strain Data Project),"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Pain",Manual (Strain Data Project),Sativa,Manual (Strain Data Project),Manual-Only - Curated from research sources,1,None,Strain Data Project
Chemdawg,19.0,0.1,0.0,Manual (Mendeley Dataset),0.4,0.25,0.2,0.05,0.08,0.02,0.0,0.0,Manual (Mendeley Dataset),"Relaxation,Euphoria,Creativity","Pain,Stress,Depression,Anxiety",Manual (Mendeley Dataset),Hybrid,Manual (Mendeley Dataset),Manual-Only - Curated from research sources,1,None,Mendeley Dataset
Do-Si-Dos,19.0,0.1,0.2,Manual (Mendeley Dataset),0.42,0.18,0.25,0.08,0.05,0.02,0.0,0.0,Manual (Mendeley Dataset),"Relaxation,Sedation,Euphoria","Insomnia,Pain,Stress,Appetite",Manual (Mendeley Dataset),Indica,Manual (Mendeley Dataset),Manual-Only - Curated from research sources,1,None,Mendeley Dataset
Gelato,18.0,0.1,0.1,Manual (Strain Data Project),0.38,0.22,0.22,0.1,0.06,0.02,0.0,0.0,Manual (Strain Data Project),"Relaxation,Euphoria,Creativity","Pain,Stress,Insomnia,Anxiety",Manual (Strain Data Project),Hybrid,Manual (Strain Data Project),Manual-Only - Curated from research sources,1,None,Strain Data Project
God's Gift,18.0,0.1,0.3,Manual (Mendeley Dataset),0.52,0.1,0.22,0.1,0.04,0.02,0.0,0.0,Manual (Mendeley Dataset),"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Appetite",Manual (Mendeley Dataset),Indica,Manual (Mendeley Dataset),Manual-Only - Curated from research sources,1,None,Mendeley Dataset
Purple Haze,16.0,0.1,0.0,Manual (Terpene Parser),0.3,0.28,0.12,0.08,0.15,0.05,0.02,0.0,Manual (Terpene Parser),"Energy,Euphoria,Creativity","Depression,Stress,Fatigue,Pain",Manual (Terpene Parser),Sativa,Manual (Terpene Parser),Manual-Only - Curated from research sources,1,None,Terpene Parser
Purple Punch,18.0,0.1,0.3,Manual (Strain Data Project),0.54,0.08,0.2,0.12,0.04,0.02,0.0,0.0,Manual (Strain Data Project),"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Manual (Strain Data Project),Indica,Manual (Strain Data Project),Manual-Only - Curated from research sources,1,None,Strain Data Project
Runtz,19.0,0.1,0.1,Manual (Strain Data Project),0.4,0.28,0.18,0.08,0.04,0.02,0.0,0.0,Manual (Strain Data Project),"Relaxation,Euphoria,Creativity","Stress,Pain,Anxiety,Insomnia",Manual (Strain Data Project),Hybrid,Manual (Strain Data Project),Manual-Only - Curated from research sources,1,None,Strain Data Project
Wedding Cake,19.0,0.1,0.1,Manual (Strain Data Project),0.4,0.2,0.24,0.09,0.05,0.02,0.0,0.0,Manual (Strain Data Project),"Relaxation,Euphoria,Happiness","Pain,Stress,Insomnia,Anxiety",Manual (Strain Data Project),Hybrid,Manual (Strain Data Project),Manual-Only - Curated from research sources,1,None,Strain Data Project
Zkittlez,15.0,0.1,0.1,Manual (Strain Data Project),0.45,0.2,0.18,0.1,0.05,0.02,0.0,0.0,Manual (Strain Data Project),"Relaxation,Euphoria,Happiness","Stress,Pain,Insomnia,Anxiety",Manual (Strain Data Project),Indica,Manual (Strain Data Project),Manual-Only - Curated from research sources,1,None,Strain Data Project
